ID,Distance_to_Coast_km,Region
US1CTFR0002,89.95258743234672,Rural
US1CTFR0003,67.47863971839907,Rural
US1CTFR0005,62.03503125045718,Rural
US1CTFR0009,96.91781648557661,Rural
US1CTFR0012,58.68871539305563,Rural
US1CTFR0020,75.97759060737012,Rural
US1CTFR0063,72.23900227633409,Rural
US1CTHR0005,183.60361579313584,Rural
US1CTHR0006,155.4926658129081,Rural
US1CTHR0007,168.0343691163126,Rural
US1CTHR0008,177.12291602836484,Rural
US1CTHR0009,159.67784085429687,Rural
US1CTHR0011,155.65082417335975,Rural
US1CTHR0012,163.68692192694593,Rural
US1CTLT0003,157.04219027274507,Rural
US1CTLT0005,159.47828873041794,Rural
US1CTLT0007,138.2039842995141,Rural
US1CTMD0001,159.96847165617544,Rural
US1CTMD0002,150.39147830047284,Rural
US1CTMD0005,146.6612065936168,Rural
US1CTNH0009,100.10519190662714,Rural
US1CTNH0013,112.12193639111942,Rural
US1CTNH0014,126.4609509381873,Rural
US1CTNH0015,103.84916193080822,Rural
US1CTNL0005,173.33938000551993,Rural
US1CTTL0004,188.77329240305934,Rural
US1CTWN0001,209.61903295324407,Rural
US1CTWN0003,207.53751869635656,Rural
US1MABE0002,175.21603158380364,Rural
US1MABE0003,185.63910850754624,Rural
US1MABE0004,187.83364501138914,Rural
US1MABE0005,184.1653025547959,Rural
US1MAFR0008,215.79418407638218,Rural
US1MAFR0012,228.43688705988143,Rural
US1MAHD0007,199.3350768916256,Rural
US1MAHD0009,202.75287369514774,Rural
US1MAHD0056,204.986005802223,Rural
US1MAHS0002,202.60436619234548,Rural
US1MAWR0006,225.60252726050703,Rural
US1MAWR0118,216.9081306828476,Rural
US1NJAT0001,147.76667911682233,Rural
US1NJAT0002,144.3912131601904,Rural
US1NJAT0005,137.1439264797504,Rural
US1NJAT0051,135.33666451852653,Rural
US1NJBG0002,23.607114701512366,Coastal
US1NJBG0003,23.948539252347686,Coastal
US1NJBG0006,41.43769891633266,Coastal
US1NJBG0008,24.333357527586728,Coastal
US1NJBG0010,32.42982932602215,Coastal
US1NJBG0015,15.563353816536344,Coastal
US1NJBG0017,29.642291316385244,Coastal
US1NJBG0018,16.46797724767229,Coastal
US1NJBG0023,40.54961531168333,Coastal
US1NJBG0029,42.35395530831516,Coastal
US1NJBG0030,40.767170099125664,Coastal
US1NJBG0033,18.835080623580513,Coastal
US1NJBT0003,98.01917874320061,Rural
US1NJBT0004,109.50241971679785,Inland
US1NJBT0005,118.44638854227378,Rural
US1NJBT0006,113.27403201313031,Inland
US1NJBT0007,84.65859929730496,Rural
