ID,LAT,LON,NAME,Total Days_Before,Missing Days_Before,Missing %_Before,Distance_to_Coast_km_Before,Region_Before,MissingCat_Before,Total Days_After,Missing Days_After,Missing %_After,Distance_to_Coast_km_After,Region_After,MissingCat_After
US1MAFR0008,42.4562,-72.3441,NEW SALEM 3.1 S,,,,,,,12.0,12.0,100.0,20.630578567637414,Coastal,High
US1MAFR0012,42.4522,-72.5661,SUNDERLAND 1.3 SE,12.0,12.0,100.0,6.7409126665233225,Coastal,High,12.0,12.0,100.0,6.7409126665233225,Coastal,High
US1MAHD0007,42.1136,-72.53,SPRINGFIELD 0.5 ESE,12.0,3.0,25.0,0.0,Coastal,High,12.0,12.0,100.0,0.0,Coastal,High
US1MAHD0009,42.1098,-72.4581,WILBRAHAM 2.1 SSW,12.0,7.0,58.33,1.9292541020808414,Coastal,High,12.0,0.0,0.0,1.9292541020808414,Coastal,Low
US1MAHD0056,42.2276,-72.6228,HOLYOKE 1.4 NE,12.0,12.0,100.0,0.0,Coastal,High,12.0,12.0,100.0,0.0,Coastal,High
US1MAHS0002,42.2794,-72.787,WESTHAMPTON 1.8 SW,12.0,1.0,8.33,10.629822388724245,Coastal,Low,12.0,1.0,8.33,10.629822388724245,Coastal,Low
US1MAWR0006,42.0842,-72.0225,SOUTHBRIDGE 0.6 E,12.0,8.0,66.67,23.42621261091501,Coastal,High,12.0,9.0,75.0,23.42621261091501,Coastal,High
US1MAWR0118,42.0528,-72.1269,STURBRIDGE 4.6 SW,,,,,,,12.0,0.0,0.0,35.405827175376906,Coastal,Low
US1NJAT0001,39.5483,-74.8671,BUENA VISTA TWP 2.6 NNE,12.0,1.0,8.33,15.274576466561049,Coastal,Low,12.0,0.0,0.0,15.274576466561049,Coastal,Low
US1NJAT0002,39.5565,-74.8048,HAMILTON TWP 5.5 NW,12.0,1.0,8.33,19.974146443389593,Coastal,Low,12.0,4.0,33.33,19.974146443389593,Coastal,High
US1NJAT0005,39.6404,-74.8261,HAMMONTON 3.3 WSW,12.0,0.0,0.0,17.202629465602485,Coastal,Low,12.0,0.0,0.0,17.202629465602485,Coastal,Low
US1NJAT0051,39.6429,-74.7895,HAMMONTON 1.5 SW,12.0,12.0,100.0,20.180423993305592,Coastal,High,12.0,12.0,100.0,20.180423993305592,Coastal,High
US1NJBG0002,40.9027,-74.0834,SADDLE BROOK TWP 0.6 E,12.0,0.0,0.0,0.0,Coastal,Low,12.0,5.0,41.67,0.0,Coastal,High
US1NJBG0003,40.9147,-73.9775,TENAFLY 1.3 W,12.0,0.0,0.0,0.0,Coastal,Low,12.0,0.0,0.0,0.0,Coastal,Low
US1NJBG0005,40.983,-74.0159,WESTWOOD 0.8 ESE,12.0,12.0,100.0,0.0,Coastal,High,,,,,,
US1NJBG0006,41.0586,-74.1341,RAMSEY 0.6 E,12.0,12.0,100.0,0.0,Coastal,High,12.0,12.0,100.0,0.0,Coastal,High
US1NJBG0008,40.9071,-74.0934,SADDLE BROOK TWP 0.3 NNE,12.0,0.0,0.0,0.0,Coastal,Low,12.0,12.0,100.0,0.0,Coastal,High
US1NJBG0010,40.9915,-74.0123,RIVER VALE TWP 1.5 S,12.0,11.0,91.67,0.0,Coastal,High,12.0,11.0,91.67,0.0,Coastal,High
US1NJBG0015,40.7915,-74.1398,NORTH ARLINGTON 0.7 WNW,12.0,0.0,0.0,0.0,Coastal,Low,12.0,0.0,0.0,0.0,Coastal,Low
US1NJBG0017,40.9511,-74.1183,GLEN ROCK 0.7 SSE,12.0,0.0,0.0,0.0,Coastal,Low,12.0,0.0,0.0,0.0,Coastal,Low
US1NJBG0018,40.8481,-74.0002,PALISADES PARK 0.2 WNW,12.0,3.0,25.0,0.0,Coastal,High,12.0,0.0,0.0,0.0,Coastal,Low
US1NJBG0023,41.0191,-74.2334,OAKLAND 0.9 SSE,12.0,0.0,0.0,0.0,Coastal,Low,12.0,0.0,0.0,0.0,Coastal,Low
US1NJBG0029,41.0328,-74.245,OAKLAND 0.2 WNW,12.0,1.0,8.33,0.0,Coastal,Low,12.0,0.0,0.0,0.0,Coastal,Low
US1NJBG0030,41.0253,-74.2236,OAKLAND 1.0 ESE,12.0,0.0,0.0,0.0,Coastal,Low,12.0,0.0,0.0,0.0,Coastal,Low
US1NJBG0031,40.9628,-73.96,DEMAREST 0.6 NNW,12.0,12.0,100.0,0.0,Coastal,High,,,,,,
US1NJBG0033,40.8536,-74.0943,WOOD RIDGE 0.6 NNW,12.0,0.0,0.0,0.0,Coastal,Low,12.0,5.0,41.67,0.0,Coastal,High
US1NJBT0003,40.0786,-74.8209,BURLINGTON 1.7 E,12.0,1.0,8.33,0.0,Coastal,Low,12.0,0.0,0.0,0.0,Coastal,Low
US1NJBT0004,39.9684,-74.8648,MOUNT LAUREL TWP 2.5 ENE,12.0,0.0,0.0,0.15606513659271268,Coastal,Low,12.0,2.0,16.67,0.15606513659271268,Coastal,High
US1NJBT0005,39.8315,-74.8083,MEDFORD TWP 2.4 SSE,12.0,0.0,0.0,5.520292005412539,Coastal,Low,12.0,1.0,8.33,5.520292005412539,Coastal,Low
US1NJBT0006,39.9716,-74.9343,MOORESTOWN TWP 0.6 SE,12.0,0.0,0.0,0.0,Coastal,Low,12.0,0.0,0.0,0.0,Coastal,Low
US1NJBT0007,40.1146,-74.6393,CHESTERFIELD TWP 0.4 ESE,12.0,2.0,16.67,6.464275183117036,Coastal,High,12.0,0.0,0.0,6.464275183117036,Coastal,Low
