Event,Before_mean_suspect,After_mean_suspect,Delta_mean_suspect,Before_flagged_count,After_flagged_count
Sandy,7.081783333333333,12.70491961414791,5.623136280814577,69,149
Ian,19.429211229946524,23.429475833900614,4.00026460395409,635,699
Harvey,12.169201995012468,11.263699284009546,-0.9055027110029226,94,120
Rita,17.085319949811794,14.934146948941468,-2.151173000870326,381,320
Michael,10.683745583038867,12.824618181818181,2.140872598779314,49,62
