ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score,Event,Period
US1NJAT0002,39.5565,-74.8048,HAMILTON TWP 5.5 NW,12,1,8.33,19.974146443389593,Coastal,11,0,0.0,False,4.16,Sandy,Before
US1NJAT0005,39.6404,-74.8261,HAMMONTON 3.3 WSW,12,0,0.0,17.202629465602485,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJAT0051,39.6429,-74.7895,HAMMONTON 1.5 SW,12,12,100.0,20.180423993305592,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJBG0002,40.9027,-74.0834,SADDLE BROOK TWP 0.6 E,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBG0003,40.9147,-73.9775,TENAFLY 1.3 W,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBG0005,40.983,-74.0159,WESTWOOD 0.8 ESE,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJBG0006,41.0586,-74.1341,RAMSEY 0.6 E,12,12,100.0,0.0,Coastal,0,0,0.0,True,50.0,Sandy,Before
US1NJBG0008,40.9071,-74.0934,SADDLE BROOK TWP 0.3 NNE,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBG0010,40.9915,-74.0123,RIVER VALE TWP 1.5 S,12,11,91.67,0.0,Coastal,1,1,100.0,True,95.84,Sandy,Before
US1NJBG0015,40.7915,-74.1398,NORTH ARLINGTON 0.7 WNW,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBG0017,40.9511,-74.1183,GLEN ROCK 0.7 SSE,12,0,0.0,0.0,Coastal,12,1,8.33,False,4.16,Sandy,Before
US1NJBG0018,40.8481,-74.0002,PALISADES PARK 0.2 WNW,12,3,25.0,0.0,Coastal,9,1,11.11,False,18.06,Sandy,Before
US1NJBG0023,41.0191,-74.2334,OAKLAND 0.9 SSE,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
US1NJBG0029,41.0328,-74.245,OAKLAND 0.2 WNW,12,1,8.33,0.0,Coastal,11,0,0.0,False,4.16,Sandy,Before
US1NJBG0030,41.0253,-74.2236,OAKLAND 1.0 ESE,12,0,0.0,0.0,Coastal,12,0,0.0,False,0.0,Sandy,Before
