Event,Before_mean_missing,After_mean_missing,Delta_mean_missing
Sandy,34.3748,33.212668810289394,-1.1621311897106068
Ian,32.05514037433156,29.772756977535735,-2.2823833967958223
Harvey,28.660523690773065,29.59429594272077,0.9337722519477047
Rita,14.680025094102886,19.316276463262767,4.636251369159881
Michael,32.86190812720848,37.75734545454545,4.895437327336971
