ID,LAT,LON,NAME,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score
US1CTFR0002,41.423,-73.5187,DANBURY 2.8 WNW,0.0,Coastal,5,0,0.0,False,0.0
US1CTFR0003,41.1486,-73.4591,NEW CANAAN 1.9 ENE,0.0,Coastal,0,0,0.0,False,0.0
US1CTFR0005,41.1028,-73.4893,DARIEN 3.6 N,0.0,Coastal,0,0,0.0,False,0.0
US1CTFR0009,41.4406,-73.3904,BROOKFIELD 3.3 SSE,1.2591867138231896,Coastal,12,0,0.0,False,0.0
US1CTFR0012,41.1306,-73.5961,STAMFORD 3.3 NW,1.1677609030426466,Coastal,0,0,0.0,False,0.0
US1CTFR0020,41.1328,-73.3003,WESTPORT 2.5 ENE,0.5561186362934997,Coastal,9,1,11.11,False,11.11
US1CTFR0063,41.2113,-73.4693,WILTON 1.9 NW,3.663010232182178,Coastal,0,0,0.0,False,0.0
US1CTHR0005,41.9563,-72.573,ENFIELD 1.5 SE,1.7998164119780848,Coastal,12,1,8.33,False,8.33
US1CTHR0006,41.6926,-72.6909,WETHERSFIELD 1.2 WSW,0.0,Coastal,12,0,0.0,False,0.0
US1CTHR0007,41.7476,-72.5519,CENTRAL MANCHESTER 2.7 SW,1.3009013619350571,Coastal,1,0,0.0,False,0.0
US1CTHR0008,42.0244,-72.8207,NORTH GRANBY 1.3 ENE,12.531369269065069,Coastal,12,1,8.33,False,8.33
US1CTHR0009,41.8029,-72.7767,WEST HARTFORD 2.7 NNW,0.6846830823625238,Coastal,10,1,10.0,False,10.0
US1CTHR0011,41.7302,-72.7401,WEST HARTFORD 2.7 SSE,0.0,Coastal,0,0,0.0,False,0.0
US1CTHR0012,41.6228,-72.4765,MARLBOROUGH 1.7 W,15.38841903508122,Coastal,1,0,0.0,False,0.0
US1CTLT0003,41.921,-73.055,WINSTED 0.7 SE,28.758162264380246,Coastal,1,0,0.0,False,0.0
US1CTLT0005,41.961,-73.09,WINSTED 2.6 NNW,35.88416168577681,Coastal,0,0,0.0,False,0.0
US1CTLT0007,41.7744,-73.169,LITCHFIELD 2.3 NNE,24.40488926970221,Coastal,9,0,0.0,False,0.0
US1CTMD0001,41.5779,-72.4866,EAST HAMPTON 0.6 NE,15.678983137398511,Coastal,3,0,0.0,False,0.0
US1CTMD0002,41.5709,-72.626,PORTLAND 0.9 S,0.13682146234429163,Coastal,12,0,0.0,False,0.0
US1CTMD0005,41.2965,-72.4413,WESTBROOK CENTER 1.1 N,33.59414801933808,Coastal,10,0,0.0,False,0.0
US1CTNH0009,41.2057,-73.0138,MILFORD 2.9 ESE,0.15123947860786585,Coastal,5,0,0.0,False,0.0
US1CTNH0013,41.3243,-72.9506,NEW HAVEN 1.7 NW,0.0,Coastal,12,0,0.0,False,0.0
US1CTNH0014,41.5124,-72.9437,PROSPECT 1.9 ENE,1.6235666507295108,Coastal,12,1,8.33,False,8.33
US1CTNH0015,41.363,-73.128,SEYMOUR 3.6 SW,1.6737020308942605,Coastal,7,0,0.0,False,0.0
US1CTNL0005,41.4752,-72.2055,OAKDALE 2.6 WNW,11.215952699331522,Coastal,1,0,0.0,False,0.0
US1CTTL0004,41.7414,-72.2174,MANSFIELD CENTER 1.9 SW,0.0,Coastal,4,0,0.0,False,0.0
US1CTWN0001,41.9252,-72.0924,WOODSTOCK VALLEY 1.4 SW,29.314866860090827,Coastal,0,0,0.0,False,0.0
US1CTWN0003,41.8442,-72.0379,POMFRET CENTER 4.9 SW,23.378604636313977,Coastal,1,0,0.0,False,0.0
US1MABE0002,42.1998,-73.3551,GREAT BARRINGTON 0.4 N,35.51033894189232,Coastal,0,0,0.0,False,0.0
US1MABE0003,42.2898,-73.3195,STOCKBRIDGE .2 NNE,21.415245282368243,Coastal,12,4,33.33,True,33.33
US1MABE0004,42.2591,-73.1321,BECKET 5.6 SSW,28.51623083348685,Coastal,2,0,0.0,False,0.0
US1MABE0005,42.2529,-73.2313,TYRINGHAM 1.5 WNW,26.013566297200416,Coastal,2,0,0.0,False,0.0
US1MAFR0008,42.4562,-72.3441,NEW SALEM 3.1 S,20.630578567637414,Coastal,0,0,0.0,False,0.0
US1MAFR0012,42.4522,-72.5661,SUNDERLAND 1.3 SE,6.7409126665233225,Coastal,0,0,0.0,False,0.0
US1MAHD0007,42.1136,-72.53,SPRINGFIELD 0.5 ESE,0.0,Coastal,0,0,0.0,False,0.0
US1MAHD0009,42.1098,-72.4581,WILBRAHAM 2.1 SSW,1.9292541020808414,Coastal,12,1,8.33,False,8.33
US1MAHD0056,42.2276,-72.6228,HOLYOKE 1.4 NE,0.0,Coastal,0,0,0.0,False,0.0
US1MAHS0002,42.2794,-72.787,WESTHAMPTON 1.8 SW,10.629822388724245,Coastal,11,2,18.18,False,18.18
US1MAWR0006,42.0842,-72.0225,SOUTHBRIDGE 0.6 E,23.42621261091501,Coastal,3,0,0.0,False,0.0
US1MAWR0118,42.0528,-72.1269,STURBRIDGE 4.6 SW,35.405827175376906,Coastal,12,0,0.0,False,0.0
US1NJAT0001,39.5483,-74.8671,BUENA VISTA TWP 2.6 NNE,15.274576466561049,Coastal,12,2,16.67,False,16.67
US1NJAT0002,39.5565,-74.8048,HAMILTON TWP 5.5 NW,19.974146443389593,Coastal,8,2,25.0,True,25.0
US1NJAT0005,39.6404,-74.8261,HAMMONTON 3.3 WSW,17.202629465602485,Coastal,12,2,16.67,False,16.67
