ID,LAT,LON,NAME
US1NJHN0003,40.6418,-74.8827,CLINTON 1.6 ENE
US1NJHN0004,40.6055,-74.9224,FRANKLIN TWP 2.8 NNE
US1NJHN0005,40.5724,-74.8147,READINGTON TWP 2.0 WSW
US1NJHN0007,40.66,-75.008,BETHLEHEM TWP 0.6 S
US1NJHN0009,40.5663,-74.9443,FRANKLIN TWP 0.4 W
US1NJHN0010,40.5083,-74.8152,FLEMINGTON 2.3 E
US1NJHN0011,40.594,-74.749,READINGTON TWP 1.8 ENE
US1NJHN0012,40.6317,-75.1045,HOLLAND TWP 2.6 NNE
US1NJHN0015,40.5091,-74.8549,FLEMINGTON 0.3 E
US1NJHN0018,40.6872,-74.8575,CLINTON TWP 3.9 N
US1NJHN0019,40.6064,-74.871,LEBANON 3.2 SW
US1NJHN0021,40.6841,-74.8389,LEBANON 2.8 N
US1NJHN0022,40.4549,-75.012,KINGWOOD TWP 2.5 S
US1NJHN0025,40.6418,-74.8249,LEBANON 0.5 E
US1NJHN0026,40.5726,-75.0123,ALEXANDRIA TWP 1.5 SE
US1NJHN0029,40.5548,-74.7819,FLEMINGTON 5.2 NE
US1NJHN0031,40.5342,-75.0559,FRENCHTOWN 0.5 N
US1NJMC0001,40.3295,-74.782,PENNINGTON 0.5 ENE
US1NJMC0002,40.2286,-74.6472,HAMILTON TWP 2.3 NE
US1NJMC0003,40.3294,-74.6482,WEST WINDSOR TWP 3.0 NNW
US1NJMC0005,40.31,-74.7243,LAWRENCE TWP 1.0 NNW
US1NJMC0008,40.324,-74.8523,HOPEWELL TWP 2.8 WSW
US1NJMC0009,40.2707,-74.7295,LAWRENCE TWP 1.8 SSW
US1NJMC0011,40.2519,-74.7751,EWING TWP 1.6 SE
US1NJMC0016,40.2104,-74.6204,ROBBINSVILLE TWP 1.7 WSW
US1NJMC0021,40.1918,-74.6786,HAMILTON TWP 0.9 S
US1NJMC0022,40.2733,-74.7175,LAWRENCE TWP 1.6 S
US1NJMC0027,40.3735,-74.8347,HOPEWELL TWP 2.4 NW
US1NJMC0029,40.2778,-74.7926,EWING TWP 1.2 N
US1NJMC0030,40.3046,-74.758,HOPEWELL TWP 3.9 SE
US1NJMD0002,40.447,-74.508,NORTH BRUNSWICK TWP 1.5 W
US1NJMD0006,40.3003,-74.5286,CRANBURY TWP 0.9 SSW
US1NJMD0009,40.4099,-74.573,SOUTH BRUNSWICK TWP 3.1 NW
US1NJMD0023,40.5789,-74.4014,SOUTH PLAINFIELD 0.8 ENE
US1NJMD0028,40.4897,-74.4409,NEW BRUNSWICK 0.3 NE
US1NJMD0033,40.5835,-74.4284,SOUTH PLAINFIELD 0.9 NW
US1NJMD0038,40.5629,-74.3669,EDISON TWP 1.9 N
US1NJMD0039,40.4739,-74.4,EAST BRUNSWICK TWP 3.3 NNE
US1NJMD0043,40.5554,-74.274,WOODBRIDGE TWP 1.1 ESE
US1NJMD0044,40.5835,-74.4195,SOUTH PLAINFIELD 0.7 NNW
US1NJMD0045,40.5759,-74.2847,WOODBRIDGE TWP 1.1 NNE
US1NJMN0005,40.2421,-74.0298,OCEAN TWP 0.8 SE
US1NJMN0006,40.3622,-74.0833,RED BANK 1.3 NW
US1NJMN0008,40.1678,-74.0261,LAKE COMO 0.2 S
US1NJMN0010,40.3034,-74.04,EATONTOWN 1.2 NE
US1NJMN0015,40.3773,-74.1595,HOLMDEL TWP 0.7 E
US1NJMN0016,40.2279,-74.3142,FREEHOLD TWP 1.0 WNW
US1NJMN0017,40.1838,-74.2448,HOWELL TWP 2.5 W
US1NJMN0019,40.2274,-74.0127,ASBURY PARK 0.3 N
US1NJMN0020,40.1739,-74.0656,WALL TWP 1.7 ENE
US1NJMN0024,40.18,-74.052,WALL TWP 2.5 ENE
US1NJMN0032,40.3627,-74.0312,FAIR HAVEN 0.4 E
US1NJMN0042,40.1526,-74.1974,HOWELL TWP 2.0 S
US1NJMN0044,40.3716,-73.9972,RUMSON 0.7 NNE
US1NJMN0048,40.297,-74.0015,LONG BRANCH 0.5 W
US1NJMN0049,40.1761,-74.0353,BELMAR 0.6 WSW
US1NJMN0051,40.3671,-73.9979,RUMSON 0.5 NE
US1NJMN0052,40.235,-74.4755,MILLSTONE TWP 2.9 WNW
US1NJMN0055,40.251,-74.2819,FREEHOLD 0.7 SSW
US1NJMN0058,40.3004,-74.3311,MANALAPAN TWP 1.6 NNE
US1NJMS0002,40.667,-74.4827,LONG HILL TWP 1.2 SSE
US1NJMS0003,40.8054,-74.5045,MORRIS TWP 0.8 NW
US1NJMS0006,40.9018,-74.5189,ROCKAWAY 0.4 NNW
US1NJMS0009,40.8581,-74.658,ROXBURY TWP 1.7 S
US1NJMS0011,40.9096,-74.4141,BOONTON 0.6 NW
US1NJMS0014,40.7556,-74.4098,MADISON 0.5 ESE
US1NJMS0015,40.7836,-74.6325,MENDHAM TWP 2.0 W
US1NJMS0018,41.0127,-74.5103,JEFFERSON TWP 2.4 ENE
US1NJMS0019,40.6713,-74.5175,LONG HILL TWP 1.8 WSW
US1NJMS0021,40.8451,-74.5969,RANDOLPH TWP 0.8 W
US1NJMS0022,40.8763,-74.7807,MOUNT OLIVE TWP 2.1 WNW
US1NJMS0023,40.8821,-74.5944,MINE HILL TWP 0.4 NE
US1NJMS0025,40.8315,-74.5449,RANDOLPH TWP 2.1 ESE
US1NJMS0031,40.9158,-74.4758,DENVILLE TWP 2.0 NNE
US1NJMS0035,40.9008,-74.4893,DENVILLE TWP 0.8 N
US1NJMS0036,40.8656,-74.3851,PARSIPPANY-TROY HILLS TWP 2.1
US1NJMS0039,40.8533,-74.447,PARSIPPANY-TROY HILLS TWP 1.3
US1NJMS0040,40.7481,-74.3908,CHATHAM 0.6 NW
US1NJMS0042,40.8398,-74.5432,RANDOLPH TWP 2.0 E
US1NJMS0047,40.7924,-74.45,MORRISTOWN 1.4 E
US1NJMS0049,40.778,-74.3992,FLORHAM PARK 0.2 WNW
US1NJMS0050,40.7798,-74.5854,MENDHAM TWP 0.5 ESE
US1NJMS0051,40.8759,-74.6304,ROXBURY TWP 1.2 ESE
US1NJMS0054,40.8675,-74.7536,MOUNT OLIVE TWP 0.6 W
US1NJMS0061,40.7853,-74.8612,WASHINGTON TWP 3.6 W
US1NJOC0001,40.0936,-74.103,BRICK TWP 2.4 N
US1NJOC0006,40.0797,-74.0989,BRICK TWP 1.5 NNE
US1NJOC0008,39.9847,-74.0726,LAVALLETTE 1.1 N
US1NJOC0009,39.9496,-74.1363,TOMS RIVER TWP 3.1 SSE
US1NJOC0012,39.7287,-74.2894,STAFFORD TWP 2.1 NW
US1NJOC0013,40.0878,-74.052,POINT PLEASANT BEACH 0.5 SW
US1NJOC0017,39.8626,-74.141,LACEY TWP 6.3 E
US1NJOC0019,39.9409,-74.1749,PINE BEACH 0.4 NW
US1NJOC0024,39.9331,-74.1455,BERKELEY TWP 2.9 ENE
US1NJOC0033,40.1535,-74.3859,JACKSON TWP 4.1 NNW
US1NJOC0034,40.128,-74.293,JACKSON TWP 2.4 NE
US1NJOC0036,39.6747,-74.3483,LITTLE EGG HARBOR TWP 5.4 N
US1NJOC0040,40.1181,-74.3972,JACKSON TWP 2.5 WNW
US1NJOC0042,39.9028,-74.2064,BERKELEY TWP 1.3 SSW
US1NJOC0049,40.1018,-74.2757,JACKSON TWP 4.3 E
US1NJOC0051,39.735,-74.2525,STAFFORD TWP 2.2 NNE
US1NJPS0004,40.9713,-74.1856,NORTH HALEDON 0.6 N
US1NJPS0005,40.9517,-74.1573,HAWTHORNE 0.4 S
US1NJPS0012,40.8796,-74.227,LITTLE FALLS TWP 0.5 WNW
US1NJPS0014,40.9436,-74.1523,HAWTHORNE 1.0 SSE
US1NJPS0015,40.9369,-74.2515,WAYNE TWP 0.8 SSW
US1NJPS0016,41.141,-74.3536,WEST MILFORD TWP 3.2 NE
US1NJPS0018,40.9163,-74.2005,PATERSON 2.0 W
US1NJPS0019,41.0351,-74.2892,WANAQUE 0.6 S
US1NJPS0021,41.0739,-74.368,WEST MILFORD TWP 2.5 SSE
US1NJPS0022,41.0653,-74.2571,RINGWOOD 3.0 SSE
US1NJSL0002,39.6561,-75.3338,WOODSTOWN 0.6 NW
US1NJSL0003,39.5137,-75.1363,PITTSGROVE TWP 1.9 S
US1NJSM0001,40.4726,-74.5904,HILLSBOROUGH TWP 4.7 ESE
US1NJSM0002,40.6831,-74.5524,BERNARDS TWP 0.9 ENE
US1NJSM0003,40.493,-74.5175,FRANKLIN TWP 2.1 ENE
US1NJSM0004,40.6834,-74.5731,BERNARDS TWP 0.6 NNW
US1NJSM0005,40.6262,-74.6535,BRIDGEWATER TWP 3.3 NW
US1NJSM0011,40.6563,-74.6305,BEDMINSTER TWP 2.9 ESE
US1NJSM0012,40.5006,-74.4875,FRANKLIN TWP 3.8 ENE
US1NJSM0013,40.5704,-74.6053,SOMERVILLE 0.2 ENE
US1NJSM0015,40.5017,-74.6671,HILLSBOROUGH TWP 0.4 ENE
US1NJSM0021,40.4552,-74.6361,MONTGOMERY TWP 3.0 NE
US1NJSM0022,40.3936,-74.6773,MONTGOMERY TWP 2.3 S
US1NJSM0023,40.4511,-74.6699,MONTGOMERY TWP 1.8 NNE
US1NJSM0026,40.5123,-74.5174,FRANKLIN TWP 3.1 NE
US1NJSM0027,40.5138,-74.6739,HILLSBOROUGH TWP 1.0 N
US1NJSM0031,40.7343,-74.6478,PEAPACK-GLADSTONE 1.3 NNE
US1NJSM0033,40.5247,-74.7029,HILLSBOROUGH TWP 2.4 NW
US1NJSM0039,40.5462,-74.5287,FRANKLIN TWP 4.6 NNW
US1NJSM0040,40.6148,-74.4994,WARREN TWP 1.5 SSE
US1NJSM0045,40.5606,-74.6649,BRIDGEWATER TWP 3.8 SW
US1NJSM0046,40.614,-74.6228,BRIDGEWATER TWP 1.6 NNW
US1NJSM0049,40.5816,-74.6674,BRIDGEWATER TWP 3.2 WSW
US1NJSM0050,40.6092,-74.6992,BRANCHBURG TWP 3.3 NNE
US1NJSS0001,41.0197,-74.7611,ANDOVER TWP 1.7 W
US1NJSS0003,41.2215,-74.488,VERNON TWP 1.7 N
US1NJSS0007,41.089,-74.5399,HARDYSTON TWP 3.2 SE
US1NJSS0020,41.2288,-74.6059,WANTAGE TWP 1.5 SE
US1NJSS0026,41.1569,-74.6348,LAFAYETTE TWP 3.6 NE
US1NJSS0027,41.0609,-74.7564,NEWTON 0.5 NNW
US1NJSS0028,41.3037,-74.7808,MONTAGUE TWP 2.7 WNW
US1NJSS0029,41.0086,-74.6819,SPARTA TWP 4.0 SW
US1NJUN0010,40.6945,-74.3898,NEW PROVIDENCE 0.8 ESE
US1NJUN0014,40.6588,-74.3358,WESTFIELD 0.6 NE
US1NJUN0017,40.6722,-74.3096,CRANFORD TWP 1.1 NNW
US1NJUN0018,40.7079,-74.2841,UNION TWP 1.1 NW
US1NJWR0001,40.6554,-75.1167,GREENWICH TWP 1.6 S
US1NJWR0004,40.9611,-74.97,BLAIRSTOWN TWP 2.0 SE
US1NJWR0005,40.8515,-74.8403,HACKETTSTOWN 0.8 W
US1NJWR0006,40.9412,-74.8428,ALLAMUCHY TWP 1.7 NNW
US1NJWR0007,40.8522,-74.9494,LIBERTY TWP 1.0 S
US1NJWR0008,40.9408,-74.9385,BLAIRSTOWN TWP 4.1 SE
US1NJWR0012,40.7103,-74.9942,FRANKLIN TWP 2.9 E
US1NJWR0017,40.8234,-74.9578,MANSFIELD TWP 2.6 WNW
US1NJWR0020,40.8014,-74.9978,OXFORD TWP 0.6 SSW
US1NJWR0021,40.7623,-74.9719,WASHINGTON 0.6 ENE
US1NJWR0022,41.0238,-74.9212,HARDWICK TWP 3.6 E
US1NJWR0023,40.7964,-75.0447,WHITE TWP 1.7 S
US1NJWR0024,40.9784,-75.0329,BLAIRSTOWN TWP 1.8 W
US1NYCB0001,42.1335,-73.7679,HUDSON 8.2 S
US1NYCB0006,42.4727,-73.6439,NORTH CHATHAM 0.6 W
US1NYDL0005,42.3003,-74.9026,DELHI 1.5 NNE
US1NYDL0008,42.1496,-74.6189,MARGARETVILLE 1.7 ENE
US1NYDL0009,42.1792,-74.9167,ANDES 6.8 W
US1NYDL0022,42.3442,-74.7317,SOUTH KORTRIGHT 0.8 W
US1NYDL0023,41.9351,-75.0784,LONG EDDY 6.5 NNE
US1NYDL0024,42.1653,-75.2585,WALTON 6.5 W
US1NYDL0025,42.3523,-74.5783,HOBART 4.8 ESE
US1NYDT0004,41.5535,-73.7863,HOPEWELL JUNCTION 2.4 SSE
US1NYDT0005,41.588,-73.8922,WAPPINGERS FALLS 1.6 ESE
US1NYDT0007,41.7887,-73.9356,HYDE PARK 1.5 W
US1NYDT0008,41.7523,-73.6488,MILLBROOK 3.2 SE
US1NYDT0010,41.647,-73.897,POUGHKEEPSIE 3.9 SSE
US1NYDT0012,41.6846,-73.7205,LAGRANGEVILLE 3.4 NE
US1NYGR0005,42.4429,-73.7866,NEW BALTIMORE 0.2 SE
US1NYGR0006,42.3605,-73.9835,FREEHOLD 3.4 E
US1NYGR0007,42.414,-74.009,GREENVILLE 0.7 E
US1NYNS0006,40.7245,-73.5086,LEVITTOWN 0.2 E
US1NYNS0007,40.723,-73.711,FLORAL PARK 0.4 W
US1NYOR0004,41.2684,-74.416,WARWICK 3.2 WNW
US1NYPT0002,41.4807,-73.8911,BEACON 4.2 ESE
US1NYPT0004,41.497,-73.8369,COLD SPRING 8.1 NE
US1NYQN0002,40.7145,-73.8819,MIDDLE VILLAGE 0.5 SW
US1NYRC0001,40.5421,-74.1476,STATEN ISLAND 4.5 SSE
US1NYRC0002,40.5674,-74.1327,STATEN ISLAND 1.4 SE
US1NYRL0005,41.0835,-73.993,WEST NYACK 1.3 WSW
US1NYSF0002,40.93,-72.67,RIVERHEAD 1.3 SSE
US1NYSF0003,40.8806,-72.9292,MIDDLE ISLAND 0.8 ESE
US1NYSF0007,40.9364,-72.5778,JAMESPORT 0.6 SSW
US1NYSF0016,40.9234,-73.3305,NORTHPORT 1.6 NNE
US1NYSF0017,40.7351,-73.2212,ISLIP 0.2 NW
US1NYSF0019,40.8123,-72.7718,EAST MORICHES 0.6 WNW
US1NYSF0024,40.7982,-73.15,RONKONKOMA 1.4 WSW
US1NYSV0005,41.6326,-74.5604,ROCK HILL 2.0 NE
US1NYSV0006,41.85,-75.1333,LONG EDDY
US1NYSV0008,41.5739,-74.4871,WURTSBORO 0.2 SSW
US1NYUL0001,41.9286,-74.0195,KINGSTON 1.1 W
US1NYUL0002,42.0204,-74.0977,WOODSTOCK 1.4 SSE
US1NYUL0003,41.8809,-74.0574,ROSENDALE VILLAGE 2.4 NNE
US1NYUL0004,42.0181,-74.0151,RUBY 0.5 NE
US1NYUL0006,41.714,-74.0866,NEW PALTZ 2.4 S
US1NYUL0008,41.9162,-74.1832,STONE RIDGE 4.9 NNW
US1NYUL0009,41.6267,-73.9941,MARLBORO 1.9 NNW
US1NYWC0006,41.3003,-73.57,SOUTH SALEM 2.1 NW
US1NYWC0007,41.2649,-73.7899,YORKTOWN HEIGHTS 0.6 SW
US1NYWC0011,41.2944,-73.9229,PEEKSKILL 0.4 N
US1PABK0004,40.4105,-75.4427,PENNSBURG 3.0 ENE
US1PABK0005,40.3483,-75.2862,PERKASIE 1.6 SSE
US1PABK0013,40.1499,-74.9333,PENNDEL 1.1 WSW
US1PABK0014,40.2366,-74.9213,NEWTOWN 0.8 NE
US1PABK0015,40.2893,-75.0931,FURLONG 0.7 SW
US1PABK0018,40.2092,-74.886,LANGHORNE 2.8 NE
US1PABK0026,40.307,-75.1982,DOYLESTOWN 3.7 W
US1PACB0015,40.8283,-75.4889,CHAPMAN 6.6 NW
US1PACH0018,40.0324,-75.4935,MALVERN 1.1 E
US1PACH0020,40.0449,-75.4564,DEVON-BERWYN 0.9 W
US1PADL0009,39.8854,-75.4518,ASTON 0.2 W
US1PAMN0007,40.9887,-75.2959,STROUDSBURG 5.1 W
US1PAMN0008,41.013,-75.371,REEDERS 1.8 W
US1PAMN0009,41.0578,-75.0796,EAST STROUDSBURG 6.5 NE
US1PAMT0006,40.2763,-75.3006,HATFIELD 0.1 SSW
US1PAMT0007,40.2556,-75.4144,HARLEYSVILLE 2.1 SW
US1PAMT0009,40.2177,-75.4933,COLLEGEVILLE 2.8 NW
US1PAMT0012,40.2182,-75.4202,COLLEGEVILLE 2.9 NE
US1PAMT0013,40.1685,-75.3005,BLUE BELL 2.3 NW
US1PAMT0016,40.2061,-75.2991,NORTH WALES 1.3 WSW
US1PAMT0020,40.2011,-75.409,SKIPPACK 1.4 SSW
US1PAMT0022,40.2077,-75.3522,KULPSVILLE 2.6 SSW
US1PAMT0027,40.2238,-75.31,LANSDALE 1.9 SW
US1PAMT0037,40.3184,-75.3243,SOUDERTON 0.6 NNW
US1PAMT0038,40.2707,-75.4659,SCHWENKSVILLE 0.9 N
US1PAMT0048,40.0082,-75.3003,ARDMORE 0.5 NW
US1PAMT0051,40.2363,-75.3825,HARLEYSVILLE 2.9 S
US1PAMT0053,40.2199,-75.4655,COLLEGEVILLE 2.3 N
US1PAMT0056,40.2654,-75.3329,HATFIELD 2.0 WSW
US1PAMT0063,40.1522,-75.1038,WILLOW GROVE 0.8 ENE
US1PAMT0064,40.1305,-75.3839,WEST NORRITON 0.3 WNW
US1PAMT0065,40.1999,-75.4534,COLLEGEVILLE 0.9 NNE
US1PAMT0067,40.146,-75.2025,FORT WASHINGTON 0.8 NW
US1PAMT0072,40.195,-75.2908,NORTH WALES 1.3 SW
US1PAMT0078,40.153,-75.2564,BLUE BELL 0.8 NE
US1PANH0001,40.7712,-75.3069,NAZARETH 2.2 N
US1PANH0005,40.6114,-75.2259,GLENDON 3.5 S
US1PANH0009,40.6569,-75.3295,BETHLEHEM 2.9 NE
US1PANH0010,40.6029,-75.2899,HELLERTOWN 2.9 ENE
US1PAPH0002,40.0677,-75.0748,ROCKLEDGE 1.3 SE
US1PAPH0004,40.0586,-75.077,PHILADELPHIA 4.7 NE
US1PAPH0006,40.0455,-75.2222,WYNDMOOR 3.0 SSW
US1PAPH0008,40.025,-75.18,PHILADELPHIA 2.7 WNW
US1PAPK0004,41.5075,-75.1163,HAWLEY 3.8 NE
US1PAPK0014,41.4153,-75.1702,TAFTON 1.0 NE
US1PASS0006,41.65,-75.4667,FOREST CITY 0.2 SE
US1PAWN0004,41.3528,-75.4358,MOSCOW 4.9 E
US1PAWN0008,41.6333,-75.05,MILANVILLE 1.5 SE
US1PAWN0010,41.8992,-75.4718,STARRUCCA - 27
US1PAWN0012,41.6384,-75.2994,DYBERRY 2.1 W
US1PAWN0013,41.5027,-75.159,HAWLEY - 15
US1PAWN0026,41.5902,-75.359,CANAAN - 11
US1PAWN0035,41.5824,-75.3357,PROMPTON - 25
US1PAWN0037,41.625,-75.222,OREGON - 23
US1PAWN0038,41.5237,-75.2696,CHERRY RIDGE 13A
US1PAWN0041,41.4511,-75.345,LAKE ARIEL 2.0 ESE
US1PAWN0042,41.7395,-75.443,PLEASANT MOUNT 1.0 E
US1PAWN0044,41.7974,-75.2207,MANCHESTER - 7A
USC00060128,41.3492,-73.0917,ANSONIA 1 NW
USC00060227,41.8417,-73.0086,BAKERSVILLE
USC00060299,41.9211,-72.9636,BARKHAMSTED
USC00060808,41.2278,-73.1744,TRUMBULL
USC00060961,41.6764,-73.5086,BULLS BRG DAM
USC00060973,41.7944,-72.9319,BURLINGTON
USC00061508,42.0003,-73.0439,COLEBROOK RVR LAKE
USC00061762,41.4003,-73.4211,DANBURY
USC00062658,41.95,-73.3667,FALLS VILLAGE
USC00063207,41.3503,-72.0378,GROTON
USC00063420,41.7675,-72.0531,HAMPTON
USC00065077,41.4072,-72.9031,MT CARMEL
USC00065445,41.9725,-73.2208,NORFOLK 2 SW
USC00065910,41.5267,-72.0653,NORWICH PUBLIC UTILITY PLT
USC00066655,41.0825,-73.6386,PUTNAM LAKE
USC00066966,41.5833,-73.4333,ROCKY RVR DAM
USC00067373,41.7167,-73.3,SHEPAUG DAM
USC00067432,41.6444,-72.8167,SHUTTLE MEADOW RSVR
USC00067958,41.9983,-72.2606,STAFFORDVILLE
USC00067970,41.1247,-73.5475,STAMFORD 5 N
USC00068065,41.3819,-73.1717,STEVENSON DAM
USC00068138,41.795,-72.2286,STORRS
USC00068330,41.6931,-73.06,THOMASTON DAM
USC00068436,41.8,-73.1167,TORRINGTON
USC00190120,42.3861,-72.5375,AMHERST
USC00190408,42.4281,-72.0275,BARRE FALLS DAM
USC00190562,42.2797,-72.3483,BELCHERTOWN
USC00192107,42.1103,-72.1269,E BRIMFIELD LAKE
USC00193172,42.0875,-72.8486,GRANVILLE DAM
USC00193213,42.2167,-73.35,GREAT BARRINGTON 2N
USC00193402,42.3458,-72.1542,HARDWICK 2 ESE
USC00194131,42.3356,-73.2506,LENOX DALE
USC00194154,42.4467,-72.53,LEVERETT #2
USC00197627,42.0583,-72.0722,SOUTHBRIDGE 3 SW
USC00198278,42.4447,-72.5528,SUNDERLAND
USC00198793,42.2622,-72.2483,WARE
USC00199193,42.0931,-72.8036,WESTFIELD 3 SW
USC00199371,42.1819,-73.2236,W OTIS
USC00199972,42.3869,-72.9211,WORTHINGTON
USC00280331,39.7417,-74.7258,ATSION
USC00280734,40.8292,-75.0833,BELVIDERE BRG
USC00280847,40.4592,-74.5836,BLACKWELLS MILLS
USC00280907,40.8917,-74.3964,BOONTON 1 SE
