event,isd_station,matched_ghcnd_station,distance_km,guessed_at_risk,max_risk_score,actual_missing_pct,actually_failed
Rita,722138-63852,USC00228413,0.06170975250994271,True,0.19445306869657863,0.0,False
Rita,722223-13899,USW00013899,0.022158449150563062,True,0.28998127437188376,0.0,False
Rita,722225-03855,USW00003855,0.02878686332536543,True,0.26167967843161327,0.0,False
Rita,722226-93841,USW00093841,0.043991317312988304,True,0.23420382540703003,11.11,False
Rita,722230-13894,USW00013894,1.1151994358837642,True,0.21815415996665238,0.0,False
Rita,722235-13838,USW00013838,0.03470395207242669,True,0.36209085432213695,22.22,False
Rita,722276-99999,USW00053820,0.29302963313140257,True,0.5255564937828805,0.0,False
Rita,722286-93806,USW00093806,0.04335132923230662,True,0.3783272208310585,11.11,False
Rita,722310-12916,USW00012916,0.058838967519267975,True,0.29708042878671337,0.0,False
Rita,722314-99999,USC00166657,0.4435141529812104,True,0.35041261878032837,22.22,False
Rita,722316-12958,USW00012958,0.04416394379993274,True,0.2206597443293633,100.0,True
Rita,722317-13970,USW00013970,0.08947000684914982,True,0.28304500005220384,0.0,False
Rita,722320-12884,USW00012884,0.049728264850240594,True,0.3320894112819521,100.0,True
Rita,722330-53865,USW00053865,0.06542537858695134,True,0.22926085210167102,0.0,False
Rita,722340-13865,USW00013865,0.038286710753862356,True,0.279283563584602,0.0,False
Rita,722345-03866,USW00003866,0.028118603071335603,True,0.2783159417193757,11.11,False
Rita,722347-13833,USW00013833,1.4316962255928436,True,0.2621713976453668,0.0,False
Rita,722350-03940,USW00003940,0.03828823887324069,True,0.373881658407541,0.0,False
Rita,722354-13927,USW00013927,0.06710681103501251,True,0.4494885991367236,0.0,False
Rita,722356-13939,USW00013939,1.278866717375015,True,0.47011069682477585,0.0,False
Rita,722358-93919,USW00093919,0.024188218960906185,True,0.3373195494888998,0.0,False
Rita,722359-13978,USW00013978,0.22282506606404856,True,0.2490250675988046,0.0,False
Rita,722390-03931,USW00003931,0.028578792498660726,True,0.6755076893415253,100.0,True
Rita,722400-03937,USW00003937,1.1759196867676827,True,0.22460177003913206,0.0,False
Rita,722403-99999,USW00012968,0.7833859089638945,True,0.3367770389750033,44.44,False
Rita,722405-13976,USW00013976,0.07282343205447427,True,0.3746247116522696,0.0,False
Rita,722410-12917,USW00012917,0.014712756723341597,True,0.2296481216921895,0.0,False
Rita,722416-12971,USW00012971,1.7632327443493685,True,0.2744170134536703,0.0,False
Rita,722420-12923,USW00012923,0.03858928162544051,True,0.17952381386457217,22.22,False
Rita,722427-99999,USW00012975,0.7933972738716139,True,0.49701806743839755,22.22,False
Rita,722429-99999,USW00053910,0.6279132382580753,True,0.2969966094031291,0.0,False
Rita,722430-12960,USW00012960,0.048469963055745996,True,0.258584671403404,0.0,False
Rita,722435-12918,USW00012918,0.8675357751186522,True,0.22990149522370154,0.0,False
Rita,722440-12918,USW00012918,0.029464204857938003,True,0.22990149522370154,0.0,False
Rita,722444-99999,USW00053902,1.2351957267736442,True,0.23726146042084895,0.0,False
Rita,722445-03904,USW00003904,0.2959773076217035,True,0.2434856436699534,0.0,False
Rita,722446-93987,USW00093987,0.03616799055071928,True,0.2915921523520941,0.0,False
Rita,722447-99999,USW00053903,1.3160215482219806,True,0.3549840731453547,0.0,False
Rita,722448-13972,USW00013972,0.045458928623295064,True,0.2743705535582458,0.0,False
Rita,722469-99999,USW00053912,0.1552244561775479,True,0.2239895887270027,0.0,False
Rita,722470-03901,USW00003901,0.024139886779978074,True,0.2733601743683296,0.0,False
Rita,722479-99999,USW00053907,1.074676521028954,True,0.29042793780507165,0.0,False
Rita,722480-13957,USW00013957,1.6865032859661089,True,0.29175061733580704,0.0,False
Rita,722484-53905,USW00053905,0.03465052046587461,True,0.2934535063603108,0.0,False
Rita,722485-13944,USC00161200,5.459134567366605,True,0.28213608426766074,0.0,False
