label,n,tp,fp,fn,tn,precision,recall,accuracy,auc,average_precision
Sandy,41,8,31,0,2,0.20512820512820512,1.0,0.24390243902439024,0.5909090909090909,0.32917329381145166
Ian,73,10,63,0,0,0.136986301369863,1.0,0.136986301369863,0.6142857142857143,0.19712819711912677
Harvey,35,5,30,0,0,0.14285714285714285,1.0,0.14285714285714285,0.5566666666666666,0.4265109380793474
Rita,94,6,85,1,2,0.06593406593406594,0.8571428571428571,0.0851063829787234,0.5632183908045977,0.1738874918120731
Michael,31,12,17,0,2,0.41379310344827586,1.0,0.45161290322580644,0.5241228070175439,0.463171610997698
ALL EVENTS,274,41,226,1,6,0.15355805243445692,0.9761904761904762,0.17153284671532848,0.5544950738916256,0.20529764452377533
