event,isd_station,matched_ghcnd_station,distance_km,guessed_at_risk,max_risk_score,actual_missing_pct,actually_failed
Sandy,722247-54785,USW00054785,0.023786560310989503,True,0.26403174787094713,66.67,True
Sandy,724074-93780,USW00093780,0.028023236982177995,True,0.40666632791714036,0.0,False
Sandy,724077-54779,USW00054779,0.04026249647725386,True,0.31268660585537306,66.67,True
Sandy,724080-13739,USW00013739,0.03443275023107015,True,0.21058757216518592,0.0,False
Sandy,724090-14780,US1NJOC0053,3.7504229891249374,True,0.21376318447316955,100.0,True
Sandy,724094-54743,USW00054743,0.04755049533958907,True,0.280447423067647,50.0,True
Sandy,724095-14792,USW00014792,0.020285805245112615,True,0.1932141719535457,0.0,False
Sandy,724096-14706,US1NJBT0050,8.801614765304555,True,0.2404801630362487,100.0,True
Sandy,725015-04789,USW00004789,0.05468707687655112,True,0.20824227864555542,0.0,False
Sandy,725016-54790,USW00054790,0.04351822122845632,True,0.27572948239243394,0.0,False
Sandy,725020-14734,USW00014734,0.02791026109305238,True,0.19644566903056412,0.0,False
Sandy,725025-94741,USW00094741,0.013941660194238802,True,0.2269089994567178,0.0,False
Sandy,725027-54788,USW00054788,0.03728440031472208,True,0.235143671013468,0.0,False
Sandy,725030-14732,USW00014732,0.05115039827838078,True,0.18814437882738883,0.0,False
Sandy,725036-14757,USW00014757,0.03341176802948731,True,0.2084787260568232,0.0,False
Sandy,725037-94745,USW00094745,0.05500100683113867,True,0.22423436339334155,0.0,False
Sandy,725040-94702,USW00094702,0.03354466010230549,True,0.2549973837659059,0.0,False
Sandy,725045-14758,USW00014758,0.020078099650816864,True,0.1996570479706494,16.67,False
Sandy,725046-14707,USW00014707,0.01390564594687781,False,0.12739216797894656,0.0,False
Sandy,725050-04781,USW00004781,0.01394663657235716,True,0.19312954629917983,0.0,False
Sandy,725053-94728,USW00094728,0.02018002517933315,True,0.20104713164919186,0.0,False
Sandy,725080-14740,USW00014740,0.056209396498467325,True,0.22437173067117935,0.0,False
Sandy,725084-54767,USW00054767,0.06936852516722465,True,0.19912395460429583,0.0,False
Sandy,725086-54734,USW00054734,0.03348490287781777,True,0.25350792905004704,0.0,False
Sandy,725087-14752,USW00014752,0.03437498873863296,True,0.2269089994567178,8.33,False
Sandy,725113-54786,USW00054786,0.03741932348966495,True,0.2805866138520682,25.0,False
Sandy,725170-14737,USW00014737,0.037382887618185395,True,0.25588160724829134,0.0,False
Sandy,725434-54789,USW00054789,0.02010407714768371,True,0.20691795582194283,0.0,False
Sandy,740001-54793,USW00054793,0.02783112624212379,True,0.2726347652530041,25.0,False
Sandy,744104-14763,USW00014763,0.0198269982132674,True,0.20529830331548968,0.0,False
Sandy,744860-94789,USW00094789,0.023785887775895336,True,0.23013964942641282,0.0,False
Sandy,744864-54787,USW00054787,0.05580483190681414,True,0.20577300288085723,0.0,False
Sandy,744865-14719,USW00014719,0.04755277674502239,True,0.27379674702180795,8.33,False
Sandy,744910-14703,US1MAHD0056,8.007040393418874,True,0.21787377938746694,100.0,True
Sandy,744915-14775,USW00014775,0.04121291873143249,True,0.1932141719535457,0.0,False
Sandy,994750-99999,USW00014707,3.2857719921619934,False,0.1044964961720866,0.0,False
Sandy,997272-99999,USW00014734,5.24878457206241,True,0.1894244004303876,0.0,False
Sandy,997280-99999,USC00300961,7.699399957479948,True,0.18938062308660236,0.0,False
Sandy,997289-99999,USC00287865,0.5019947309272716,True,0.18201631782229044,100.0,True
Sandy,997290-99999,USW00094702,4.673943945599375,True,0.2252822347014681,0.0,False
Sandy,997743-99999,USC00305816,8.076508983895351,True,0.14656202425871592,100.0,True
Ian,722011-92813,USC00084625,1.9830174098384263,True,0.25607688683785035,0.0,False
Ian,722014-12818,USW00012818,0.04064811328863336,True,0.2873923392098013,18.18,False
Ian,722030-12844,USW00012844,0.019870288520183882,True,0.24375986374263964,0.0,False
Ian,722034-12812,USW00012812,0.03480072070593232,True,0.28766831542809285,0.0,False
Ian,722037-92809,US1FLBW0153,1.4239249848168745,True,0.25007354814884475,54.55,True
Ian,722038-12897,USW00012897,0.029942731662033387,True,0.26627889447282616,9.09,False
Ian,722039-12885,USW00012885,0.02987884464989173,True,0.2618408226005545,0.0,False
Ian,722040-12838,USW00012838,0.05149945908637933,True,0.2557294879084401,0.0,False
Ian,722049-92805,USW00092805,0.045582370694523894,True,0.21289285892378826,0.0,False
Ian,722050-12815,USW00012815,0.03866972993702772,True,0.23841454939185003,0.0,False
Ian,722053-12841,USW00012841,0.06743475143153528,True,0.2166580187529993,0.0,False
Ian,722055-12861,USW00012861,0.04428626067032639,True,0.25831733468767626,100.0,True
Ian,722057-12854,USW00012854,0.07727159362023647,True,0.20111914777124576,0.0,False
Ian,722060-13889,USW00013889,1.3728550600538207,True,0.6576505045214428,0.0,False
Ian,722065-93837,USW00093837,0.04408455956081674,True,0.403864136738464,0.0,False
Ian,722066-03853,USW00003853,0.02877214325351169,True,0.28092810463280854,0.0,False
Ian,722070-03822,USW00003822,0.04830072705240101,True,0.2886637039274217,0.0,False
Ian,722080-13880,USW00013880,0.04823847769161564,True,0.3420478067277901,0.0,False
Ian,722085-93831,USW00093831,0.04364196275340669,True,0.20832356675382604,0.0,False
Ian,722090-03875,US1GALB0011,3.361328438798769,True,0.2669315715819845,45.45,False
Ian,722103-12895,USW00012895,0.04099016263998875,True,0.21681335310835065,0.0,False
Ian,722104-92806,USW00092806,0.05159141671764371,True,0.18015106397145472,0.0,False
Ian,722106-12835,USW00012835,0.03977537838947359,True,0.2726540308579661,9.09,False
Ian,722108-12894,USW00012894,0.031847966051049524,True,0.28263637701745337,0.0,False
Ian,722110-12842,USW00012842,0.0333584779933514,True,0.2737536829397135,0.0,False
Ian,722115-12871,USW00012871,0.059477525673455864,True,0.233571034495464,0.0,False
Ian,722116-12873,USW00012873,0.06808700781593117,True,0.20345268584121592,0.0,False
Ian,722166-93845,USW00093845,0.045492421685924905,True,0.3865704672276803,0.0,False
Ian,722170-03813,USW00003813,0.014533460787495137,True,0.29131438101718043,0.0,False
Ian,722175-13860,USC00099124,3.0406426104305324,True,0.28096107904487355,0.0,False
Ian,722180-03820,USW00003820,0.04992699002983965,True,0.44722660422571503,0.0,False
Ian,722181-13837,USW00013837,0.043441628111572955,True,0.2649939345787041,0.0,False
Ian,722213-12819,USW00012819,0.05322092635168449,True,0.24745240551942177,0.0,False
Ian,722216-99999,US1SCOR0052,6.5839898891330755,True,0.41631288553031265,0.0,False
Ian,723100-13883,USW00013883,0.7344080784433504,True,0.2685547834182826,0.0,False
