timestamp,risk_score,at_risk
2012-10-30 06:00:00,,False
2012-10-30 07:00:00,,False
2012-10-30 08:00:00,,False
2012-10-30 09:00:00,1.7261076571212358e-06,False
2012-10-30 10:00:00,1.7261076571212358e-06,False
2012-10-30 11:00:00,1.7261076571212358e-06,False
2012-10-30 12:00:00,0.5141999007935524,True
2012-10-30 13:00:00,0.5141999007935524,True
2012-10-30 14:00:00,0.9999692772728221,True
2012-10-30 15:00:00,0.9999692772728221,True
2012-10-30 16:00:00,0.9999692772728221,True
2012-10-30 17:00:00,0.9999692772728221,True
2012-10-30 18:00:00,0.9999692772728221,True
2012-10-30 19:00:00,0.9999692772728221,True
2012-10-30 20:00:00,0.9999692772728221,True
2012-10-30 21:00:00,0.9999692772728221,True
2012-10-30 22:00:00,0.9999692772728221,True
2012-10-30 23:00:00,0.9999692772728221,True
2012-10-31 00:00:00,0.9999692772728221,True
2012-10-31 01:00:00,0.9999692772728221,True
2012-10-31 02:00:00,,False
2012-10-31 03:00:00,,False
2012-10-31 04:00:00,,False
2012-10-31 05:00:00,,False
2012-10-31 06:00:00,,False
