ID,LAT,LON,NAME,Total Days,Missing Days,Missing %,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score
US1LAAC0002,30.401,-92.2249,CHURCH POINT 0.7 WSW,14,0,0.0,21.472322075609828,Coastal,14,2,14.29,False,7.14
US1LAAC0003,30.2353,-92.2843,RAYNE 1.0 W,14,1,7.14,20.725979707056936,Coastal,13,0,0.0,False,3.57
US1LAAV0001,30.9517,-92.1921,BUNKIE 0.3 WSW,14,6,42.86,48.69310440030159,Coastal,8,1,12.5,True,27.68
US1LABG0002,30.4713,-93.1591,RAGLEY 5.0 SE,14,0,0.0,19.106541789093452,Coastal,14,3,21.43,True,10.72
US1LACC0003,30.2322,-92.9986,IOWA 0.9 ESE,14,0,0.0,15.39611762231304,Coastal,14,2,14.29,False,7.14
US1LACC0005,30.2545,-93.2694,WESTLAKE 0.7 WNW,14,10,71.43,0.0,Coastal,4,1,25.0,True,48.22
US1LACC0006,30.2339,-93.3205,SULPHUR 2.2 E,14,0,0.0,0.0,Coastal,14,2,14.29,False,7.14
US1LACC0009,30.3698,-93.0669,IOWA 9.7 NNW,14,0,0.0,14.967775819755573,Coastal,14,2,14.29,False,7.14
US1LACC0014,30.145,-93.1764,LAKE CHARLES 4.8 SSE,14,5,35.71,4.942066567972843,Coastal,9,1,11.11,True,23.41
US1LACC0016,30.3912,-93.4114,DE QUINCY 4.4 SSE,14,14,100.0,6.3420011009676145,Coastal,0,0,0.0,True,50.0
US1LACC0017,30.2308,-93.2109,LAKE CHARLES 1.5 NNW,14,14,100.0,0.0,Coastal,0,0,0.0,True,50.0
US1LACC0018,30.1842,-93.2011,LAKE CHARLES 1.8 S,14,8,57.14,0.0,Coastal,6,3,50.0,True,53.57
US1LACM0003,30.0483,-93.2414,LAKE CHARLES 11.5 SSW,14,0,0.0,14.429665137337233,Coastal,14,2,14.29,False,7.14
US1LAEB0002,30.4218,-91.1576,BATON ROUGE 2.7 SW,14,0,0.0,0.0,Coastal,14,3,21.43,True,10.72
US1LAEB0005,30.3657,-91.1168,GARDERE 1.2 ENE,14,13,92.86,1.305101445304875,Coastal,1,0,0.0,True,46.43
US1LAEB0009,30.6069,-91.0533,BROWNFIELDS 5.8 NE,14,0,0.0,9.871928323891494,Coastal,14,4,28.57,True,14.28
US1LAEB0014,30.4393,-91.0685,BATON ROUGE 3.5 E,14,5,35.71,0.0,Coastal,9,2,22.22,True,28.96
US1LAEB0019,30.5096,-91.0016,MONTICELLO 3.0 ENE,14,5,35.71,4.621910548285513,Coastal,9,2,22.22,True,28.96
US1LAEB0023,30.5541,-91.054,BROWNFIELDS 4.0 E,14,0,0.0,4.820456061347964,Coastal,14,3,21.43,True,10.72
US1LAEB0027,30.4507,-91.0843,BATON ROUGE 2.5 E,14,1,7.14,0.0,Coastal,13,3,23.08,True,15.11
US1LAEB0031,30.5441,-91.005,CENTRAL 2.2 SE,14,0,0.0,5.7255972234662496,Coastal,14,3,21.43,True,10.72
US1LAEB0033,30.4118,-91.1786,LSU,14,0,0.0,0.0,Coastal,14,3,21.43,True,10.72
US1LAEB0041,30.3876,-91.1372,BATON ROUGE 4.3 S,14,0,0.0,0.0,Coastal,14,3,21.43,True,10.72
US1LAEB0042,30.3586,-91.078,INNISWOLD 2.8 S,14,0,0.0,2.379094709578022,Coastal,14,3,21.43,True,10.72
US1LAEB0046,30.4421,-91.149,BATON ROUGE 1.4 WSW,14,0,0.0,0.0,Coastal,14,3,21.43,True,10.72
US1LAEB0047,30.3818,-91.1373,BATON ROUGE 5.3 S,14,14,100.0,0.18997187245589606,Coastal,0,0,0.0,True,50.0
US1LAEB0053,30.4089,-91.1058,BATON ROUGE 3.0 SSE,14,9,64.29,0.0,Coastal,5,1,20.0,True,42.14
US1LAEB0054,30.4281,-91.0243,BATON ROUGE 6.2 ESE,14,9,64.29,0.0,Coastal,5,2,40.0,True,52.14
US1LAEB0056,30.6943,-91.2565,JACKSON 10.1 SSW,14,0,0.0,16.766628790634385,Coastal,14,2,14.29,False,7.14
US1LAEB0059,30.357,-91.077,BATON ROUGE 7.0 SSE,14,9,64.29,2.6060503605776435,Coastal,5,1,20.0,True,42.14
US1LAEB0060,30.4005,-91.0896,BATON ROUGE 4.0 SSE,14,0,0.0,0.0,Coastal,14,3,21.43,True,10.72
US1LAEB0063,30.3791,-91.0051,SHENANDOAH 1.5 S,14,14,100.0,2.558708647532863,Coastal,0,0,0.0,True,50.0
US1LAEF0001,30.8404,-91.0159,CLINTON 1.4 S,14,14,100.0,36.32648416383013,Coastal,0,0,0.0,True,50.0
US1LAJD0002,30.236,-92.823,WELSH 0.7 W,14,3,21.43,34.797085670959945,Coastal,11,1,9.09,False,15.26
US1LALY0002,30.17,-92.0016,LAFAYETTE 3.5 SSE,14,14,100.0,0.6018984590277239,Coastal,0,0,0.0,True,50.0
US1LALY0006,30.2521,-92.0889,SCOTT 1.0 N,14,6,42.86,1.3365714043951662,Coastal,8,1,12.5,True,27.68
US1LALY0007,30.3357,-91.9781,CARENCRO 3.9 ENE,14,0,0.0,5.950405363386993,Coastal,14,2,14.29,False,7.14
US1LAPC0002,30.6807,-91.4115,NEW ROADS 2.7 ESE,14,7,50.0,25.28877902449292,Coastal,7,0,0.0,True,25.0
US1LARP0007,31.2624,-92.4946,ALEXANDRIA 2.8 SW,14,0,0.0,0.0,Coastal,14,5,35.71,True,17.86
