ID,LAT,LON,NAME,Total Days_Before,Missing Days_Before,Missing %_Before,Distance_to_Coast_km_Before,Region_Before,MissingCat_Before,Total Days_After,Missing Days_After,Missing %_After,Distance_to_Coast_km_After,Region_After,MissingCat_After
US1LAAC0002,30.401,-92.2249,CHURCH POINT 0.7 WSW,14.0,0.0,0.0,21.472322075609828,Coastal,Low,14.0,0.0,0.0,21.472322075609828,Coastal,Low
US1LAAC0003,30.2353,-92.2843,RAYNE 1.0 W,,,,,,,14.0,1.0,7.14,20.725979707056936,Coastal,Low
US1LAAV0001,30.9517,-92.1921,BUNKIE 0.3 WSW,14.0,5.0,35.71,48.69310440030159,Coastal,High,14.0,6.0,42.86,48.69310440030159,Coastal,High
US1LABG0002,30.4713,-93.1591,RAGLEY 5.0 SE,14.0,0.0,0.0,19.106541789093452,Coastal,Low,14.0,0.0,0.0,19.106541789093452,Coastal,Low
US1LACC0003,30.2322,-92.9986,IOWA 0.9 ESE,14.0,0.0,0.0,15.39611762231304,Coastal,Low,14.0,0.0,0.0,15.39611762231304,Coastal,Low
US1LACC0005,30.2545,-93.2694,WESTLAKE 0.7 WNW,14.0,13.0,92.86,0.0,Coastal,High,14.0,10.0,71.43,0.0,Coastal,High
US1LACC0006,30.2339,-93.3205,SULPHUR 2.2 E,14.0,0.0,0.0,0.0,Coastal,Low,14.0,0.0,0.0,0.0,Coastal,Low
US1LACC0009,30.3698,-93.0669,IOWA 9.7 NNW,14.0,1.0,7.14,14.967775819755573,Coastal,High,14.0,0.0,0.0,14.967775819755573,Coastal,Low
US1LACC0014,30.145,-93.1764,LAKE CHARLES 4.8 SSE,14.0,0.0,0.0,4.942066567972843,Coastal,Low,14.0,5.0,35.71,4.942066567972843,Coastal,High
US1LACC0016,30.3912,-93.4114,DE QUINCY 4.4 SSE,14.0,0.0,0.0,6.3420011009676145,Coastal,Low,14.0,14.0,100.0,6.3420011009676145,Coastal,High
US1LACC0017,30.2308,-93.2109,LAKE CHARLES 1.5 NNW,14.0,0.0,0.0,0.0,Coastal,Low,14.0,14.0,100.0,0.0,Coastal,High
US1LACC0018,30.1842,-93.2011,LAKE CHARLES 1.8 S,,,,,,,14.0,8.0,57.14,0.0,Coastal,High
