ID,LAT,LON,NAME,Distance_to_Coast_km,Region,Days_Checked,Suspect_Days,Suspect_%,Likely_Malfunctioning,Malfunction_Score
US1ALBW0045,30.488,-87.8002,SILVERHILL 5.0 SW,19.57260121416126,Coastal,0,0,0.0,False,0.0
US1ALTS0003,33.0786,-87.4009,HOLT 11.4 SSE,14.137698384561007,Coastal,0,0,0.0,False,0.0
US1LALF0010,29.702,-90.6262,RACELAND 2.1 WSW,10.778455904217545,Coastal,0,0,0.0,False,0.0
US1LATR0015,29.635,-90.7405,HOUMA 4.4 NNW,0.0,Coastal,0,0,0.0,False,0.0
US1MSHR0022,30.6592,-89.1297,SAUCIER 1.7 NNE,21.48228180414012,Coastal,0,0,0.0,False,0.0
US1MSNW0005,32.5706,-89.1432,UNION 1.6 W,48.762070064340584,Coastal,1,0,0.0,False,0.0
US1MSRN0013,32.3471,-89.9874,BRANDON 4.7 NNE,5.990292257639462,Coastal,0,0,0.0,False,0.0
US1TXAR0007,28.0357,-97.0717,ROCKPORT 1.3 WSW,0.3283043494845695,Coastal,0,0,0.0,False,0.0
US1TXAS0002,29.8925,-96.489,NEW ULM 0.1 ENE,79.07994689899645,Rural,0,0,0.0,False,0.0
US1TXBEL034,31.0684,-97.4561,BELTON 0.4 E,6.60570754137393,Coastal,0,0,0.0,False,0.0
US1TXBEL113,31.0919,-97.4486,TEMPLE 5.1 W,4.783555344531458,Coastal,0,0,0.0,False,0.0
US1TXBRT124,30.7061,-98.2713,BURNET 4.5 SSW,49.5618566547205,Coastal,0,0,0.0,False,0.0
US1TXBST086,30.1685,-97.2498,BASTROP 5.1 NE,44.71988310197278,Coastal,0,0,0.0,False,0.0
US1TXBST140,30.1153,-97.342,BASTROP 2.2 W,38.22540505196106,Coastal,0,0,0.0,False,0.0
US1TXBST152,30.3702,-97.3113,ELGIN 3.9 ENE,35.4906079562432,Coastal,0,0,0.0,False,0.0
US1TXBXR229,29.5178,-98.4388,TERRELL HILLS 2.8 N,0.0,Coastal,0,0,0.0,False,0.0
US1TXCLL018,33.0539,-96.8371,PLANO 5.3 W,0.0,Coastal,0,0,0.0,False,0.0
US1TXCLL030,33.3127,-96.5827,ANNA 3.7 SSW,5.6490204594558735,Coastal,0,0,0.0,False,0.0
US1TXCLL033,32.9921,-96.7397,RICHARDSON 2.2 NW,0.0,Coastal,0,0,0.0,False,0.0
US1TXCML048,29.9454,-98.3706,CANYON LAKE 8.1 NW,36.640368148936915,Coastal,0,0,0.0,False,0.0
US1TXCML092,29.6411,-98.3114,GARDEN RIDGE 1.2 WNW,5.317538542314873,Coastal,0,0,0.0,False,0.0
US1TXCML219,29.7481,-98.2522,NEW BRAUNFELS 8.6 WNW,13.059396342111604,Coastal,0,0,0.0,False,0.0
US1TXDA0050,32.5996,-96.9537,CEDAR HILL 1.4 N,0.0,Coastal,0,0,0.0,False,0.0
US1TXDA0052,32.7709,-96.6409,MESQUITE 2.4 W,0.0,Coastal,0,0,0.0,False,0.0
US1TXDN0068,33.1562,-97.0345,SHADY SHORES 0.7 SE,2.2325188151692132,Coastal,0,0,0.0,False,0.0
US1TXDN0108,33.2339,-97.2932,PONDER 3.8 N,14.44500612721719,Coastal,0,0,0.0,False,0.0
US1TXDN0109,33.1832,-97.2862,PONDER 0.3 NNE,14.089243705273063,Coastal,0,0,0.0,False,0.0
US1TXDW0008,29.0423,-97.6523,YORKTOWN 9.8 WNW,72.27335177097787,Rural,0,0,0.0,False,0.0
US1TXEL0023,32.4225,-96.8108,WAXAHACHIE 2.6 ENE,0.0,Coastal,0,0,0.0,False,0.0
US1TXGZ0010,29.4461,-97.425,GONZALES 4.5 SSE,77.66079005507123,Rural,0,0,0.0,False,0.0
US1TXHYS012,30.1066,-97.8539,BUDA 1.7 NNW,8.216753527844578,Coastal,0,0,0.0,False,0.0
US1TXHYS292,30.0284,-98.0761,WIMBERLEY 2.9 NNE,17.165769900658756,Coastal,0,0,0.0,False,0.0
US1TXJC0002,33.0402,-98.1207,PERRIN 3.0 ENE,24.865480085374568,Coastal,0,0,0.0,False,0.0
US1TXLL0002,30.6936,-98.4098,KINGSLAND 3.3 NE,63.434894446576614,Rural,0,0,0.0,False,0.0
US1TXLO0009,28.3638,-98.1405,GEORGE WEST 2.7 NNW,48.387972082625296,Coastal,0,0,0.0,False,0.0
US1TXMCL038,31.6166,-97.1403,WACO 4.1 NE,0.0,Coastal,0,0,0.0,False,0.0
US1TXNU0013,27.5861,-97.7908,BISHOP 0.4 ENE,30.9695928975512,Coastal,0,0,0.0,False,0.0
US1TXNV0005,32.067,-96.745,BLOOMING GROVE 2.4 SW,27.943318959114226,Coastal,0,0,0.0,False,0.0
US1TXSM0028,32.2093,-95.3207,FLINT 1.7 ENE,8.142903139314033,Coastal,0,0,0.0,False,0.0
US1TXTN0087,32.8757,-97.4798,EAGLE MOUNTAIN 2.4 WSW,3.9849633461463654,Coastal,1,0,0.0,False,0.0
US1TXTV0117,30.3721,-97.8134,AUSTIN 5.9 NW,0.0,Coastal,0,0,0.0,False,0.0
US1TXTV0207,30.3419,-98.1322,DRIPPING SPRINGS 10.9 NNW,27.52814888403329,Coastal,0,0,0.0,False,0.0
US1TXVC0034,28.7423,-97.0268,VICTORIA 6.4 SSW,6.742368501663224,Coastal,0,0,0.0,False,0.0
US1TXWL0009,29.8729,-96.003,BROOKSHIRE 6.9 NNW,26.039677983675556,Coastal,0,0,0.0,False,0.0
USC00010140,32.2322,-87.4103,ALBERTA,45.17084490779019,Coastal,9,0,0.0,False,0.0
USC00010178,33.1272,-88.155,ALICEVILLE,52.00554352147743,Rural,0,0,0.0,False,0.0
USC00010184,33.2103,-88.2869,BEVILL L&D,36.10290773912429,Coastal,9,0,0.0,False,0.0
USC00010402,31.1819,-87.4389,ATMORE,67.29928719328933,Rural,9,0,0.0,False,0.0
USC00010505,33.4528,-87.3572,BANKHEAD L&D,28.779005717686974,Coastal,9,0,0.0,False,0.0
USC00010583,30.8839,-87.7853,BAY MINETTE,27.005729121077646,Coastal,9,0,0.0,False,0.0
USC00010764,33.3936,-87.0067,BESSEMER 3 WSW,0.0,Coastal,9,0,0.0,False,0.0
USC00011080,31.1414,-87.0486,BREWTON 3 ENE,63.20789670263743,Rural,9,0,0.0,False,0.0
USC00011084,31.0583,-87.055,BREWTON 3 SSE,52.39003849370076,Rural,9,0,0.0,False,0.0
USC00011143,33.2619,-87.3103,BROOKWOOD,16.526207225118046,Coastal,9,0,0.0,False,0.0
USC00011189,32.0911,-88.2322,BUTLER,60.0787662604144,Rural,9,0,0.0,False,0.0
USC00011566,31.4714,-88.2503,CHATOM,61.04812226213198,Rural,9,0,0.0,False,0.0
USC00011690,31.6147,-87.5003,CLAIBORNE L&D,96.6282889997027,Rural,9,0,0.0,False,0.0
USC00011803,30.3875,-88.2269,CODEN,17.98151650121329,Coastal,9,0,0.0,False,0.0
USC00011810,31.7561,-88.1289,COFFEEVILLE L&D,95.33810351545084,Rural,9,0,0.0,False,0.0
USC00012172,30.2506,-88.0775,DAUPHIN IS #2,30.079533569288447,Coastal,3,0,0.0,False,0.0
USC00012245,32.5194,-87.8794,DEMOPOLIS L&D,1.5057398642391013,Coastal,0,0,0.0,False,0.0
USC00012813,30.5467,-87.8808,FAIRHOPE 2 NE,8.155171737596627,Coastal,9,0,0.0,False,0.0
USC00013160,32.8347,-88.1342,GAINESVILLE LOCK,50.490736622515534,Rural,9,0,0.0,False,0.0
USC00013511,32.6922,-87.5761,GREENSBORO,34.388651094861714,Coastal,9,0,0.0,False,0.0
USC00013930,33.2531,-87.4497,HOLT L&D,2.0220430757097954,Coastal,9,0,0.0,False,0.0
USC00014193,31.5253,-87.9278,JACKSON,67.07746546497523,Rural,9,0,0.0,False,0.0
USC00014798,32.5811,-88.1897,LIVINGSTON,36.976048128186726,Coastal,9,0,0.0,False,0.0
USC00015112,32.7028,-87.2681,MARION 7 NE,39.49157807418304,Coastal,9,0,0.0,False,0.0
USC00015121,32.4717,-87.2308,MARION JUNCTION 2 NE,18.847030089238515,Coastal,9,0,0.0,False,0.0
USC00015354,31.9306,-88.4586,MELVIN,60.601242130520625,Rural,0,0,0.0,False,0.0
USC00015420,32.1003,-87.3983,MILLERS FERRY L&D,55.40413160271375,Rural,9,0,0.0,False,0.0
USC00015658,32.9964,-87.6319,MOUNDVILLE,19.55697323115302,Coastal,9,0,0.0,False,0.0
USC00016362,32.6567,-87.0928,PERRYVILLE,25.163259570600843,Coastal,9,0,0.0,False,0.0
USC00016847,33.3739,-88.0053,REFORM,43.156365279135024,Coastal,9,0,0.0,False,0.0
USC00016988,30.5653,-87.7017,ROBERTSDALE,21.925643726286804,Coastal,9,0,0.0,False,0.0
USC00017366,32.4111,-87.0144,SELMA,0.0,Coastal,9,0,0.0,False,0.0
USC00018178,31.9172,-87.7347,THOMASVILLE,77.64812732202455,Rural,9,0,0.0,False,0.0
USC00018380,33.2231,-87.61,TUSCALOOSA ACFD,0.0,Coastal,9,0,0.0,False,0.0
USC00018385,33.2108,-87.5933,TUSCALOOSA OLIVER DAM,0.0,Coastal,9,0,0.0,False,0.0
USC00018446,32.5506,-87.5308,UNIONTOWN,31.78090823990645,Coastal,0,0,0.0,False,0.0
USC00018637,31.21,-87.1789,WALLACE 2 E,73.2167400899987,Rural,9,0,0.0,False,0.0
USC00018673,32.7747,-87.8306,WARRIOR L&D,31.413519087210293,Coastal,9,0,0.0,False,0.0
USC00018809,33.1186,-87.1264,W BLOCTON,35.233193524849355,Coastal,9,0,0.0,False,0.0
USC00018867,31.6508,-87.7097,WHATLEY,89.37634778261932,Rural,2,0,0.0,False,0.0
USC00031140,33.3053,-92.4867,CALION L&D,17.851563738379586,Coastal,9,2,22.22,True,22.22
USC00031730,33.1111,-91.9481,CROSSETT 2 SSE,2.86594262457614,Coastal,9,1,11.11,False,11.11
USC00032355,33.1144,-91.2628,EUDORA,39.82961552000307,Coastal,9,0,0.0,False,0.0
USC00032475,33.0597,-92.1236,FELSENTHAL L&D,18.13266389507925,Coastal,9,0,0.0,False,0.0
USC00033088,33.2278,-91.7939,HAMBURG,19.030305066960853,Coastal,0,0,0.0,False,0.0
USC00034185,33.3614,-93.5675,LEWISVILLE,29.286054800072648,Coastal,9,2,22.22,True,22.22
USC00034548,33.2586,-93.1822,MAGNOLIA,3.5151557334495385,Coastal,9,3,33.33,True,33.33
USC00034936,33.3008,-92.3494,MORO BAY SP,31.106095415239608,Coastal,9,0,0.0,False,0.0
USC00035866,33.2511,-91.5058,PORTLAND,47.91125142874955,Coastal,9,0,0.0,False,0.0
USC00085793,30.7794,-87.1414,MILTON EXP STN,18.29445093654837,Coastal,9,0,0.0,False,0.0
USC00086999,30.53,-87.1983,PENSACOLA 7 NNE,0.0,Coastal,9,0,0.0,False,0.0
USC00160007,29.9689,-92.1169,ABBEVILLE,26.640300375552282,Coastal,9,4,44.44,True,44.44
USC00160012,30.4586,-90.0975,ABITA RVR COVINGTON,0.0,Coastal,9,3,33.33,True,33.33
USC00160016,30.4714,-90.0436,ABITA SPRINGS 1 SW,2.5161909821917203,Coastal,9,2,22.22,True,22.22
USC00160021,30.4372,-90.0519,ABITA SPRINGS FIRE TWR,0.45601387294707924,Coastal,9,3,33.33,True,33.33
USC00160098,31.3206,-92.4611,ALEXANDRIA,0.0,Coastal,9,3,33.33,True,33.33
USC00160103,31.2483,-92.4486,ALEXANDRIA 5 SSE,1.5850838935171465,Coastal,9,2,22.22,True,22.22
USC00160205,30.7094,-90.525,AMITE,21.740443293097858,Coastal,9,3,33.33,True,33.33
